"tag","class","text_preview","href"
"ul"," list-subitems","Smart TV
		
		
		
			
			Lamparas Led",""
"ul"," list-subitems","Accesorios para Proyectores",""
"ul"," list-subitems","Accesorios Cricut",""
"div","modal-header no-title","",""
"div","modal-header ","Productos",""
"div","modal-header ","Accesorios para Pc",""
"div","modal-header ","Celulares",""
"div","modal-header ","Componentes de PC",""
"div","modal-header ","Placas de Video",""
"div","modal-header ","Nvidia GeForce",""
"div","modal-header ","RTX Series",""
"div","modal-header ","AMD Radeon",""
"div","modal-header ","Por Marcas",""
"div","modal-header ","Procesadores",""
"div","modal-header ","AMD",""
"div","modal-header ","Socket AM4",""
"div","modal-header ","Socket Am5",""
"div","modal-header ","Intel Core",""
"div","modal-header ","Motherboard",""
"div","modal-header ","AMD",""
"div","modal-header ","INTEL",""
"div","modal-header ","Almacenamiento",""
"div","modal-header ","Discos SSD Internos",""
"div","modal-header ","Discos HDD Internos",""
"div","modal-header ","Memoria Ram",""
"div","modal-header ","Coolers para Pc",""
"div","modal-header ","Fuentes para PC",""
"div","modal-header ","Gabinetes de PC",""
"div","modal-header ","Gabinetes Gamers",""
"div","modal-header ","Perifericos para PC",""
"div","modal-header ","Auriculares",""
"div","modal-header ","Microfonos",""
"div","modal-header ","Mouse",""
"div","modal-header ","Parlantes",""
"div","modal-header ","Teclados para Pc",""
"div","modal-header ","Computadoras",""
"div","modal-header ","Monitores",""
"div","modal-header ","Notebooks",""
"div","modal-header ","Notebooks AMD",""
"div","modal-header ","Notebooks Intel",""
"div","modal-header ","Tablet",""
"div","modal-header ","Conectividad",""
"div","modal-header ","Impresoras",""
"div","modal-header ","Impresoras Laser",""
"div","modal-header ","Impresoras Inkjet",""
"div","modal-header ","Impresoras Multifunción",""
"div","modal-header ","Insumos",""
"div","modal-header ","Consolas",""
"div","modal-header ","Sillas Gamer",""
"div","modal-header ","Seguridad",""
"div","modal-header ","Todo para Empresas",""
"div","modal-header ","Domótica",""
"div","modal-header ","Proyectores",""
"div","modal-header ","Cricut.com",""
"div","js-ajax-cart-list","",""
"a","btn-link font-small ml-1","ver otros acá",""
"div","js-visible-on-cart-filled","Subtotal
        
         (sin envío)
        :
      
      $0,00",""
"div","d-grid grid-1-auto mb-2 font-big","Subtotal
        
         (sin envío)
        :
      
      $0,00",""
"span","","Subtotal
        
         (sin envío)
        :",""
"span","js-subtotal-shipping-wording","(sin envío)",""
"span","js-ajax-cart-total js-cart-subtotal text-right","$0,00",""
"div","js-price-without-taxes-cart-container js-visible-on-cart-filled price-without-taxes-cart-container d-grid grid-1-auto mb-2 font-small opacity-60","Precio sin impuestos
                            :
                    
        $0,00",""
"span","price-without-taxes-label ","Precio sin impuestos
                            :",""
"span","js-price-without-taxes-cart price-without-taxes-cart text-right","$0,00",""
"span","js-promo-discount","Descuento",""
"span","js-promo-in","en",""
"span","js-promo-all","todos los productos",""
"span","js-promo-units-or-more","o más",""
"div","","¡No te preocupes! Podés elegir otro.",""
"div","js-shipping-calculator-with-zipcode  mb-4 w-100 transition-up position-absolute","Entregas para el CP:
					
				
				
					Cambiar CP",""
"div","d-grid grid-1-auto align-items-center","Entregas para el CP:
					
				
				
					Cambiar CP",""
"span","font-small mr-3","Entregas para el CP:",""
"span","","Entregas para el CP:",""
"strong","js-shipping-calculator-current-zip","",""
"span","","Cambiar CP",""
"a","js-shipping-calculator-change-zipcode btn btn-link font-small","Cambiar CP",""
"span","js-calculating-shipping-wording","Calculando",""
"span","float-right loading ml-2","",""
"a"," btn btn-link font-small","No sé mi código postal",""
